,Class
404,8
405,1
406,2
407,3
408,3
409,4
410,8
411,3
412,2
413,2
414,2
415,3
416,6
417,2
418,2
419,3
420,2
421,1
422,3
423,2
424,1
425,1
426,2
427,1
428,3
429,6
430,3
431,3
432,8
433,2
434,1
435,3
436,2
437,3
438,1
439,2
440,2
441,9
442,3
443,1
444,2
445,4
446,3
447,8
448,2
449,8
450,8
451,3
452,4
453,7
454,6
455,3
456,8
457,7
458,3
459,2
460,2
461,8
462,7
463,8
464,1
465,1
466,2
467,2
468,3
469,2
470,4
471,8
472,1
473,6
474,8
475,9
476,1
477,8
478,2
479,9
480,3
481,1
482,1
483,3
484,3
485,9
486,6
487,9
488,3
489,2
490,2
491,3
492,1
493,6
494,1
495,2
496,5
497,2
498,8
499,3
500,7
501,3
502,3
503,2
504,8
505,8
506,7
507,7
508,9
509,7
510,3
511,1
512,2
513,5
514,7
515,3
516,8
517,2
518,7
519,1
520,3
521,3
522,1
523,3
524,1
525,1
526,3
527,3
528,3
529,3
530,2
531,2
532,3
533,9
534,8
535,6
536,3
537,2
538,1
539,1
540,2
541,3
542,7
543,7
544,3
545,8
546,2
547,6
548,2
549,8
550,2
551,3
552,3
553,1
554,2
555,2
556,8
557,2
558,2
559,9
560,2
561,2
562,2
563,1
564,9
565,3
566,8
567,3
568,4
569,1
570,3
571,1
572,3
573,3
574,2
575,8
576,7
577,3
578,6
579,3
580,2
581,6
582,3
583,1
584,9
585,3
586,1
587,3
588,2
589,9
590,3
591,8
592,4
593,2
594,3
595,1
596,6
597,1
598,9
599,8
600,2
601,6
602,9
603,6
604,2
605,3
606,2
607,1
608,1
609,2
610,1
611,3
612,2
613,1
614,9
615,1
616,3
617,3
618,8
619,3
620,6
621,3
622,2
623,8
624,9
625,2
626,3
627,3
628,3
629,2
630,3
631,7
632,3
633,3
634,2
635,3
636,2
637,6
638,2
639,9
640,2
641,9
642,2
643,3
644,2
645,1
646,1
647,3
648,2
649,9
650,3
651,9
652,3
653,2
654,9
655,8
656,4
657,3
658,3
659,6
660,3
661,2
662,3
663,7
664,3
665,2
666,9
667,1
668,2
669,6
670,9
671,8
672,3
673,1
674,3
675,2
676,3
677,1
678,6
679,2
680,7
681,2
682,8
683,3
684,3
685,2
686,1
687,1
688,2
689,3
690,3
691,8
692,7
693,2
694,2
695,1
696,1
697,9
698,9
699,2
700,3
701,3
702,3
703,3
704,3
705,6
706,2
707,2
708,3
709,8
710,6
711,1
712,2
713,2
714,1
715,9
716,9
717,7
718,9
719,8
720,3
721,8
722,1
723,3
724,8
725,1
726,2
727,3
728,5
729,3
730,7
731,1
732,9
733,3
734,3
735,2
736,3
737,9
738,1
739,1
740,6
741,6
742,1
743,2
744,3
745,3
746,2
747,8
748,8
749,4
750,2
751,3
752,8
753,6
754,2
755,8
756,2
757,1
758,3
759,2
760,3
761,8
762,6
763,2
764,3
765,9
766,3
767,3
768,9
769,1
770,3
771,3
772,6
773,3
774,2
775,3
776,8
777,3
778,1
779,1
780,1
781,1
782,3
783,8
784,3
785,3
786,2
787,2
788,1
789,2
790,1
791,3
792,6
793,2
794,4
795,6
796,2
797,8
798,2
799,3
800,3
801,3
802,7
803,9
804,1
805,2
806,3
807,9
808,3
809,1
810,3
811,9
812,9
813,8
814,3
815,2
816,7
817,2
818,9
819,4
820,9
821,9
822,3
823,1
824,7
825,2
826,8
827,3
828,3
829,3
830,3
831,6
832,2
833,3
834,3
835,3
836,6
837,6
838,2
839,1
840,2
841,2
842,2
843,3
844,9
845,2
846,1
847,8
848,6
849,3
850,8
851,8
852,2
853,1
854,2
855,1
856,6
857,2
858,3
859,8
860,3
861,3
862,3
863,3
864,2
865,4
866,3
867,3
868,9
869,9
870,9
871,9
872,8
873,2
874,4
875,3
876,6
877,3
878,2
879,2
880,2
881,3
882,3
883,2
884,1
885,3
886,7
887,6
888,3
889,6
890,1
891,1
892,1
893,8
894,8
895,2
896,2
897,9
898,1
899,1
900,8
901,2
902,5
903,2
904,2
905,3
906,2
907,3
908,3
909,5
910,3
911,1
912,2
913,2
914,9
915,1
916,9
917,1
918,3
919,4
920,1
921,2
922,2
923,9
924,8
925,2
926,3
927,7
928,3
929,1
930,2
931,2
932,9
933,9
934,1
935,8
936,8
937,3
938,3
939,2
940,2
941,2
942,1
943,2
944,4
945,9
946,1
947,8
948,1
949,8
950,2
951,3
952,2
953,3
954,2
955,9
956,3
957,3
958,2
959,2
960,7
961,2
962,2
963,2
964,1
965,9
966,2
967,1
968,7
969,6
970,9
971,8
972,8
973,3
974,2
975,4
976,2
977,1
978,2
979,8
980,3
981,4
982,1
983,3
984,4
985,2
986,2
987,3
988,9
989,2
990,3
991,9
992,2
993,8
994,6
995,1
996,3
997,8
998,2
999,6
1000,4
1001,3
1002,3
1003,7
1004,3
1005,3
1006,3
1007,3
1008,1
1009,8
1010,3
1011,2
1012,8
1013,3
1014,2
1015,8
1016,4
1017,9
1018,9
1019,3
1020,2
1021,3
1022,1
1023,9
1024,1
1025,7
1026,2
1027,6
1028,2
1029,2
1030,1
1031,3
1032,3
1033,3
1034,2
1035,4
1036,3
1037,3
1038,2
1039,6
1040,4
1041,9
1042,2
1043,3
1044,1
1045,3
1046,2
1047,1
1048,3
1049,3
1050,2
1051,8
1052,4
1053,4
1054,2
1055,9
1056,2
1057,1
1058,8
1059,8
1060,7
1061,7
1062,3
1063,2
1064,9
1065,2
1066,8
1067,3
1068,7
1069,8
1070,2
1071,1
1072,2
1073,1
1074,3
1075,3
1076,3
1077,8
1078,7
1079,3
1080,6
1081,9
1082,2
1083,3
1084,2
1085,2
1086,1
1087,3
1088,3
1089,2
1090,2
1091,9
1092,3
1093,1
1094,2
1095,9
1096,8
1097,1
1098,8
1099,1
1100,2
1101,1
1102,2
1103,3
1104,1
1105,3
1106,8
1107,3
1108,9
1109,8
1110,6
1111,2
1112,9
1113,9
1114,8
1115,3
1116,1
1117,6
1118,3
1119,3
1120,9
1121,1
1122,9
1123,8
1124,4
1125,3
1126,3
1127,8
1128,1
1129,3
1130,6
1131,1
1132,3
1133,3
1134,9
1135,1
1136,3
1137,7
1138,4
1139,1
1140,3
1141,2
1142,3
1143,9
1144,3
1145,1
1146,2
1147,3
1148,8
1149,9
1150,6
1151,1
1152,3
1153,2
1154,3
1155,8
1156,2
1157,1
1158,3
1159,2
1160,2
1161,3
1162,1
1163,3
1164,9
1165,8
1166,1
1167,2
1168,3
1169,2
1170,1
1171,3
1172,2
1173,2
1174,2
1175,3
1176,4
1177,6
1178,3
1179,2
1180,8
1181,3
1182,1
1183,3
1184,3
1185,3
1186,2
1187,2
1188,1
1189,6
1190,3
1191,1
1192,9
1193,1
1194,6
1195,3
1196,1
1197,2
1198,2
1199,1
1200,2
1201,2
1202,8
1203,3
1204,9
1205,9
1206,1
1207,8
1208,1
1209,3
1210,9
1211,3
1212,2
1213,3
1214,2
1215,2
1216,1
1217,9
1218,2
1219,1
1220,3
1221,2
1222,3
1223,8
1224,5
1225,3
1226,9
1227,9
1228,6
1229,3
1230,3
1231,7
1232,8
1233,2
1234,9
1235,8
1236,9
1237,3
1238,3
1239,1
1240,6
1241,4
1242,2
1243,3
1244,8
1245,6
1246,8
1247,3
1248,3
1249,1
1250,1
1251,3
1252,9
1253,1
1254,3
1255,1
1256,9
1257,2
1258,9
1259,4
1260,9
1261,2
1262,1
1263,2
1264,9
1265,9
1266,3
1267,9
1268,9
1269,8
1270,1
1271,4
1272,2
1273,3
1274,3
1275,3
1276,1
1277,8
1278,6
1279,8
1280,2
1281,9
1282,4
1283,3
1284,3
1285,9
1286,2
1287,8
1288,3
1289,3
1290,8
1291,3
1292,1
1293,8
1294,3
1295,2
1296,2
1297,3
1298,3
1299,2
1300,9
1301,3
1302,3
1303,3
1304,3
1305,3
1306,3
1307,2
1308,2
1309,3
1310,3
1311,1
1312,6
1313,3
1314,3
1315,3
1316,1
1317,3
1318,2
1319,1
1320,1
1321,3
1322,3
1323,6
1324,8
1325,3
1326,2
1327,2
1328,2
1329,9
1330,9
1331,8
1332,9
1333,1
1334,4
1335,2
1336,2
1337,8
1338,2
1339,6
1340,3
1341,2
1342,3
1343,3
1344,1
1345,9
1346,3
1347,1
1348,3
1349,3
1350,1
1351,3
1352,8
1353,9
1354,3
1355,3
1356,7
1357,7
1358,3
1359,8
1360,1
1361,3
1362,2
1363,8
1364,3
1365,2
1366,1
1367,2
1368,3
1369,3
1370,3
1371,3
1372,2
1373,3
1374,3
1375,3
1376,5
1377,3
1378,8
1379,3
1380,3
1381,2
1382,3
1383,6
1384,5
1385,9
1386,2
1387,2
1388,1
1389,6
1390,8
1391,6
1392,6
1393,1
1394,3
1395,1
1396,2
1397,8
1398,6
1399,3
1400,1
1401,3
1402,2
1403,3
1404,3
1405,2
1406,6
1407,2
1408,6
1409,6
1410,3
1411,8
1412,6
1413,2
1414,3
1415,1
1416,1
1417,3
1418,2
1419,3
1420,9
1421,3
1422,8
1423,2
1424,2
1425,6
1426,3
1427,1
1428,6
1429,2
1430,1
1431,9
1432,1
1433,4
1434,6
1435,4
1436,3
1437,3
1438,3
1439,4
1440,1
1441,3
1442,2
1443,3
1444,3
1445,1
1446,6
1447,1
1448,3
1449,6
1450,3
1451,3
1452,3
1453,7
1454,2
1455,6
1456,2
1457,3
1458,8
1459,3
1460,3
1461,9
1462,9
1463,7
1464,1
1465,3
1466,2
1467,1
1468,8
1469,8
1470,7
1471,3
1472,3
1473,2
1474,1
1475,1
1476,8
1477,3
1478,1
1479,3
1480,1
1481,6
1482,2
1483,1
1484,8
1485,7
1486,1
1487,2
1488,3
1489,3
1490,2
1491,1
1492,3
1493,3
1494,3
1495,3
1496,4
1497,6
1498,2
1499,2
1500,9
1501,9
1502,3
1503,6
1504,3
1505,3
1506,2
1507,3
1508,3
1509,1
1510,3
1511,1
1512,2
1513,3
1514,3
1515,8
1516,4
1517,2
1518,3
1519,2
1520,3
1521,2
1522,6
1523,8
1524,6
1525,6
1526,3
1527,2
1528,2
1529,1
1530,2
1531,2
1532,3
1533,3
1534,9
1535,9
1536,8
1537,1
1538,9
1539,1
1540,6
1541,2
1542,2
1543,6
1544,1
1545,6
1546,6
1547,6
1548,8
1549,3
1550,6
1551,1
1552,1
1553,9
1554,2
1555,1
1556,8
1557,3
1558,3
1559,8
1560,3
1561,1
1562,2
1563,9
1564,3
1565,1
1566,3
1567,2
1568,3
1569,2
1570,9
1571,1
1572,2
1573,2
1574,6
1575,9
1576,9
1577,3
1578,2
1579,3
1580,2
1581,8
1582,9
1583,2
1584,2
1585,3
1586,9
1587,1
1588,8
1589,3
1590,3
1591,2
1592,1
1593,2
1594,3
1595,3
1596,1
1597,1
1598,6
1599,3
1600,6
1601,2
1602,2
1603,1
1604,9
1605,2
1606,2
1607,4
1608,9
1609,8
1610,3
1611,2
1612,3
1613,1
1614,2
1615,2
1616,6
1617,9
1618,2
1619,1
1620,3
1621,8
1622,3
1623,8
1624,2
1625,1
1626,2
1627,3
1628,8
1629,9
1630,3
1631,1
1632,3
1633,8
1634,3
1635,1
1636,2
1637,3
1638,2
1639,2
1640,1
1641,4
1642,1
1643,2
1644,9
1645,3
1646,3
1647,6
1648,8
1649,1
1650,3
1651,3
1652,6
1653,9
1654,3
1655,6
1656,9
1657,3
1658,9
1659,3
1660,2
1661,2
1662,3
1663,5
1664,1
1665,3
1666,2
1667,3
1668,3
1669,3
1670,2
1671,1
1672,1
1673,4
1674,3
1675,8
1676,8
1677,4
1678,8
1679,1
1680,1
1681,2
1682,3
1683,2
1684,3
1685,2
1686,3
1687,7
1688,1
1689,8
1690,9
1691,3
1692,1
1693,1
1694,8
1695,3
1696,6
1697,8
1698,3
1699,8
1700,1
1701,3
1702,7
1703,2
1704,2
1705,3
1706,2
1707,3
1708,3
1709,3
1710,4
1711,1
1712,8
1713,2
1714,9
1715,3
1716,4
1717,1
1718,4
1719,2
1720,3
1721,2
1722,8
1723,3
1724,3
1725,8
1726,2
1727,6
1728,4
1729,3
1730,3
1731,3
1732,8
1733,2
1734,1
1735,2
1736,3
1737,9
1738,3
1739,3
1740,3
1741,8
1742,3
1743,9
1744,2
1745,3
1746,3
1747,8
1748,6
1749,2
1750,8
1751,8
1752,2
1753,1
1754,1
1755,7
1756,3
1757,2
1758,8
1759,3
1760,6
1761,2
1762,2
1763,9
1764,3
1765,2
1766,2
1767,1
1768,1
1769,1
1770,3
1771,2
1772,9
1773,2
1774,8
1775,6
1776,3
1777,6
1778,3
1779,1
1780,3
1781,2
1782,2
1783,3
1784,3
1785,4
1786,2
1787,2
1788,9
1789,1
1790,3
1791,8
1792,3
1793,2
1794,3
1795,2
1796,9
1797,6
1798,3
1799,3
1800,8
1801,2
1802,3
1803,8
1804,3
1805,3
1806,3
1807,3
1808,2
1809,3
1810,3
1811,2
1812,7
1813,2
1814,3
1815,8
1816,4
1817,9
1818,8
1819,1
1820,2
1821,9
1822,2
1823,3
1824,8
1825,2
1826,2
1827,3
1828,1
1829,3
1830,7
1831,1
1832,3
1833,3
1834,3
1835,2
1836,3
1837,3
1838,3
1839,2
1840,8
1841,2
1842,8
1843,3
1844,2
1845,2
1846,7
1847,2
1848,2
1849,2
1850,3
1851,1
1852,8
1853,8
1854,9
1855,2
1856,3
1857,1
1858,3
1859,3
1860,4
1861,2
1862,8
1863,9
1864,3
1865,8
1866,1
1867,9
1868,8
1869,4
1870,1
1871,3
1872,2
1873,3
1874,2
1875,3
1876,4
1877,9
1878,4
1879,8
1880,3
1881,1
1882,1
1883,3
1884,3
1885,3
1886,7
1887,2
1888,2
1889,6
1890,1
1891,3
1892,9
1893,6
1894,9
1895,3
1896,3
1897,6
1898,8
1899,1
1900,3
1901,2
1902,2
1903,3
1904,1
1905,2
1906,3
1907,1
1908,8
1909,3
1910,1
1911,2
1912,8
1913,3
1914,6
1915,1
1916,3
1917,1
1918,7
1919,3
1920,3
1921,3
1922,3
1923,2
1924,8
1925,1
1926,3
1927,3
1928,9
1929,3
1930,6
1931,1
1932,8
1933,3
1934,2
1935,2
1936,1
1937,3
1938,1
1939,8
1940,1
1941,2
1942,3
1943,1
1944,6
1945,9
1946,9
1947,2
1948,7
1949,2
1950,1
1951,3
1952,8
1953,1
1954,1
1955,9
1956,1
1957,3
1958,3
1959,3
1960,8
1961,1
1962,3
1963,1
1964,2
1965,8
1966,1
1967,8
1968,7
1969,2
1970,1
1971,3
1972,4
1973,3
1974,8
1975,4
1976,4
1977,2
1978,9
1979,8
1980,9
1981,8
1982,2
1983,8
1984,2
1985,1
1986,7
1987,8
1988,2
1989,3
1990,2
1991,3
1992,2
1993,9
1994,3
1995,2
1996,9
1997,1
1998,1
1999,3
2000,2
2001,2
2002,8
2003,2
2004,9
2005,1
2006,1
2007,3
2008,2
2009,8
2010,1
2011,3
2012,5
2013,9
2014,4
2015,1
2016,3
2017,8
2018,3
2019,1
2020,3
2021,1
2022,2
2023,2
2024,3
2025,1
2026,2
2027,8
2028,8
2029,3
2030,2
2031,3
2032,1
2033,1
2034,3
2035,6
2036,3
2037,2
2038,3
2039,3
2040,3
2041,9
2042,8
2043,1
2044,3
2045,3
2046,1
2047,3
2048,3
2049,2
2050,9
2051,2
2052,2
2053,8
2054,2
2055,7
2056,2
2057,8
2058,3
2059,9
2060,3
2061,3
2062,2
2063,2
2064,6
2065,6
2066,2
2067,2
2068,1
2069,6
2070,2
2071,4
2072,1
2073,3
2074,3
2075,1
2076,4
2077,2
2078,2
2079,2
2080,3
2081,6
2082,3
2083,1
2084,2
2085,2
2086,3
2087,6
2088,9
2089,3
2090,2
2091,3
2092,1
2093,9
2094,8
2095,6
2096,3
2097,4
2098,2
2099,8
2100,9
2101,6
2102,3
2103,9
2104,3
2105,2
2106,8
2107,4
2108,2
2109,3
2110,2
2111,3
2112,6
2113,1
2114,3
2115,2
2116,9
2117,8
2118,2
2119,2
2120,1
2121,8
2122,8
2123,2
2124,6
2125,3
2126,2
2127,9
2128,8
2129,9
2130,2
2131,9
2132,6
2133,7
2134,1
2135,7
2136,2
2137,1
2138,2
2139,9
2140,7
2141,2
2142,6
2143,3
2144,1
2145,6
2146,9
2147,6
2148,2
2149,1
2150,2
2151,3
2152,1
2153,2
2154,2
2155,3
2156,3
2157,1
2158,9
2159,8
2160,3
2161,9
2162,7
2163,3
2164,7
2165,8
2166,1
2167,2
2168,2
2169,1
2170,9
2171,2
2172,6
2173,2
2174,7
2175,9
2176,3
2177,8
2178,2
2179,9
2180,3
2181,9
2182,2
2183,9
2184,7
2185,4
2186,4
2187,6
2188,2
2189,2
2190,9
2191,3
2192,2
2193,6
2194,6
2195,2
2196,3
2197,8
2198,3
2199,9
2200,4
2201,3
2202,6
2203,3
2204,3
2205,3
2206,2
2207,3
2208,4
2209,2
2210,3
2211,2
2212,6
2213,2
2214,2
2215,1
2216,6
2217,2
2218,3
2219,3
2220,4
2221,7
2222,2
2223,3
2224,8
2225,6
2226,2
2227,4
2228,2
2229,1
2230,3
2231,3
2232,4
2233,2
2234,9
2235,3
2236,1
2237,1
2238,3
2239,3
2240,2
2241,8
2242,4
2243,3
2244,7
2245,6
2246,2
2247,1
2248,6
2249,8
2250,8
2251,4
2252,3
2253,9
2254,2
2255,2
2256,2
2257,3
2258,3
2259,1
2260,9
2261,1
2262,8
2263,3
2264,8
2265,2
2266,9
2267,9
2268,1
2269,1
2270,1
2271,2
2272,2
2273,9
2274,2
2275,6
2276,9
2277,2
2278,7
2279,3
2280,8
2281,8
2282,1
2283,1
2284,3
2285,3
2286,2
2287,3
2288,3
2289,9
2290,2
2291,8
2292,3
2293,2
2294,9
2295,3
2296,3
2297,2
2298,6
2299,3
2300,3
2301,2
2302,6
2303,2
2304,2
2305,2
2306,2
2307,7
2308,4
2309,4
2310,2
2311,3
2312,3
2313,2
2314,2
2315,8
2316,3
2317,6
2318,3
2319,9
2320,8
2321,4
2322,2
2323,6
2324,2
2325,1
2326,2
2327,1
2328,3
2329,1
2330,6
2331,9
2332,6
2333,3
2334,2
2335,2
2336,8
2337,9
2338,3
2339,3
2340,9
2341,1
2342,2
2343,3
2344,2
2345,2
2346,3
2347,9
2348,8
2349,2
2350,9
2351,1
2352,1
2353,3
2354,1
2355,6
2356,8
2357,2
2358,1
2359,1
2360,2
2361,1
2362,3
2363,2
2364,3
2365,2
2366,8
2367,3
2368,1
2369,3
2370,3
2371,1
2372,9
2373,3
2374,1
2375,2
2376,9
2377,1
2378,9
2379,1
2380,2
2381,2
2382,1
2383,4
2384,8
2385,3
2386,1
2387,2
2388,9
2389,4
2390,2
2391,3
2392,2
2393,1
2394,9
2395,3
2396,6
2397,3
2398,9
2399,3
2400,8
2401,3
2402,3
2403,9
2404,4
2405,2
2406,2
2407,6
2408,3
2409,1
2410,1
2411,2
2412,4
2413,2
2414,8
2415,9
2416,6
2417,3
2418,3
2419,8
2420,9
2421,3
2422,9
2423,2
2424,7
2425,2
2426,3
2427,3
2428,6
2429,6
2430,2
2431,2
2432,4
2433,2
2434,3
2435,1
2436,9
2437,6
2438,6
2439,2
2440,8
2441,8
2442,9
2443,2
2444,3
2445,9
2446,1
2447,1
2448,3
2449,6
2450,4
2451,3
2452,8
2453,3
2454,8
2455,1
2456,6
2457,6
2458,2
2459,2
2460,9
2461,8
2462,8
2463,6
2464,1
2465,3
2466,8
2467,3
2468,6
2469,3
2470,3
2471,2
2472,2
2473,3
2474,9
2475,9
2476,2
2477,3
2478,2
2479,4
2480,3
2481,3
2482,8
2483,1
2484,2
2485,3
2486,3
2487,3
2488,6
2489,1
2490,2
2491,2
2492,6
2493,2
2494,1
2495,8
2496,3
2497,3
2498,1
2499,1
2500,3
2501,1
2502,2
2503,3
2504,8
2505,1
2506,9
2507,3
2508,3
2509,2
2510,2
2511,2
2512,3
2513,9
2514,8
2515,2
2516,9
2517,4
2518,3
2519,1
2520,9
2521,1
2522,2
2523,3
2524,3
2525,3
2526,4
2527,3
2528,3
2529,9
2530,2
2531,7
2532,5
2533,3
2534,4
2535,3
2536,1
2537,8
2538,2
2539,9
2540,1
2541,2
2542,6
2543,1
2544,4
2545,3
2546,8
2547,2
2548,2
2549,4
2550,2
2551,7
2552,3
2553,3
2554,2
2555,4
2556,1
2557,7
2558,2
2559,3
2560,3
2561,3
2562,3
2563,3
2564,2
2565,1
2566,2
2567,9
2568,3
2569,3
2570,3
2571,8
2572,2
2573,1
2574,8
2575,9
2576,3
2577,4
2578,2
2579,7
2580,3
2581,3
2582,2
2583,8
2584,8
2585,2
2586,1
2587,3
2588,3
2589,3
2590,3
2591,2
2592,3
2593,3
2594,9
2595,9
2596,8
2597,9
2598,1
2599,3
2600,2
2601,9
2602,3
2603,2
2604,1
2605,8
2606,6
2607,4
2608,2
2609,2
2610,2
2611,9
2612,2
2613,1
2614,4
2615,1
2616,3
2617,7
2618,1
2619,1
2620,3
2621,8
2622,3
2623,2
2624,1
2625,2
2626,4
2627,3
2628,1
2629,4
2630,6
2631,3
2632,3
2633,9
2634,3
2635,3
2636,1
2637,4
2638,1
2639,3
2640,9
2641,3
2642,1
2643,3
2644,8
2645,9
2646,3
2647,8
2648,6
2649,3
2650,9
2651,3
2652,2
2653,1
2654,8
2655,3
2656,2
2657,3
2658,2
2659,6
2660,3
2661,2
2662,8
2663,4
2664,8
2665,3
2666,2
2667,1
2668,2
2669,8
2670,2
2671,1
2672,2
2673,7
2674,3
2675,2
2676,3
2677,2
2678,3
2679,8
2680,3
2681,1
2682,2
2683,6
2684,6
2685,2
2686,2
2687,4
2688,1
2689,7
2690,6
2691,9
2692,2
2693,2
2694,3
2695,4
2696,3
2697,8
2698,3
2699,9
2700,3
2701,6
2702,3
2703,6
2704,3
2705,1
2706,2
2707,6
2708,1
2709,2
2710,8
2711,1
2712,2
2713,2
2714,6
2715,3
2716,6
2717,2
2718,2
2719,3
2720,1
2721,1
2722,2
2723,1
2724,8
2725,8
2726,2
2727,2
2728,9
2729,7
2730,8
2731,8
2732,9
2733,8
2734,8
2735,2
2736,2
2737,9
2738,3
2739,1
2740,8
2741,6
2742,6
2743,3
2744,3
2745,2
2746,3
2747,3
2748,2
2749,9
2750,2
2751,2
2752,3
2753,9
2754,3
2755,2
2756,9
2757,6
2758,8
2759,3
2760,8
2761,3
2762,3
2763,3
2764,4
2765,8
2766,1
2767,2
2768,9
2769,3
2770,3
2771,9
2772,3
2773,1
2774,3
2775,1
2776,8
2777,2
2778,9
2779,6
2780,3
2781,1
2782,3
2783,6
2784,8
2785,9
2786,8
2787,3
2788,6
2789,3
2790,3
2791,3
2792,3
2793,3
2794,2
2795,3
2796,9
2797,2
2798,3
2799,8
2800,2
2801,3
2802,9
2803,6
2804,3
2805,2
2806,2
2807,1
2808,2
2809,2
2810,1
2811,1
2812,9
2813,8
2814,3
2815,2
2816,2
2817,9
2818,2
2819,9
2820,4
2821,2
2822,3
2823,2
2824,1
2825,2
2826,3
2827,8
2828,8
2829,9
2830,3
2831,1
2832,6
2833,3
2834,8
2835,3
2836,2
2837,9
2838,6
2839,2
2840,4
2841,2
2842,1
2843,3
2844,1
2845,3
2846,9
2847,9
2848,3
2849,1
2850,7
2851,2
2852,3
2853,9
2854,2
2855,2
2856,3
2857,3
2858,2
2859,3
2860,7
2861,6
2862,2
2863,3
2864,2
2865,1
2866,1
2867,3
2868,3
2869,2
2870,7
2871,2
2872,3
2873,9
2874,1
2875,3
2876,3
2877,3
2878,3
2879,8
2880,4
2881,8
2882,2
2883,2
2884,3
2885,8
2886,9
2887,1
2888,1
2889,3
2890,2
2891,9
2892,8
2893,2
2894,3
2895,8
2896,2
2897,9
2898,6
2899,6
2900,2
2901,9
2902,1
2903,3
2904,3
2905,8
2906,3
2907,2
2908,6
2909,2
2910,7
2911,2
2912,8
2913,2
2914,3
2915,2
2916,2
2917,1
2918,7
2919,3
2920,4
2921,8
2922,3
2923,2
2924,3
2925,3
2926,3
2927,2
2928,8
2929,3
2930,3
2931,1
2932,3
2933,6
2934,3
2935,2
2936,9
2937,2
2938,8
2939,8
2940,4
2941,8
2942,3
2943,6
2944,8
2945,4
2946,2
2947,7
2948,2
2949,1
2950,2
2951,9
2952,9
2953,2
2954,1
2955,3
2956,2
2957,6
2958,9
2959,1
2960,6
2961,4
2962,9
2963,3
2964,1
2965,2
2966,1
2967,7
2968,2
2969,2
2970,1
2971,1
2972,9
2973,3
2974,9
2975,9
2976,1
2977,4
2978,1
2979,9
2980,3
2981,2
2982,6
2983,1
2984,3
2985,2
2986,3
2987,1
2988,6
2989,6
2990,3
2991,2
2992,4
2993,3
2994,1
2995,3
2996,3
2997,2
